[0064].[12488].[11368].[2021.04.05.01.22.04.138217].SRV1.INF:Main.py.on_data_ready.47:Cx=31 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0065].[12488].[11368].[2021.04.05.01.22.04.146221].SRV1.INF:Main.py.on_data_ready.47:Cx=32 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0066].[12488].[11368].[2021.04.05.01.22.04.154227].SRV1.INF:Main.py.on_data_ready.47:Cx=33 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0067].[12488].[11368].[2021.04.05.01.22.04.163233].SRV1.INF:Main.py.on_data_ready.47:Cx=34 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0068].[12488].[11368].[2021.04.05.01.22.04.171741].SRV1.INF:Main.py.on_data_ready.47:Cx=35 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0069].[12488].[11368].[2021.04.05.01.22.04.179747].SRV1.INF:Main.py.on_data_ready.47:Cx=36 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0070].[12488].[11368].[2021.04.05.01.22.04.188756].SRV1.INF:Main.py.on_data_ready.47:Cx=37 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0071].[12488].[11368].[2021.04.05.01.22.04.198763].SRV1.INF:Main.py.on_data_ready.47:Cx=38 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0072].[12488].[11368].[2021.04.05.01.22.04.207771].SRV1.INF:Main.py.on_data_ready.47:Cx=39 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0073].[12488].[11368].[2021.04.05.01.22.04.218778].SRV1.INF:Main.py.on_data_ready.47:Cx=40 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0074].[12488].[11368].[2021.04.05.01.22.04.226783].SRV1.INF:Main.py.on_data_ready.47:Cx=41 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0075].[12488].[11368].[2021.04.05.01.22.04.235788].SRV1.INF:Main.py.on_data_ready.47:Cx=42 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0076].[12488].[11368].[2021.04.05.01.22.04.244793].SRV1.INF:Main.py.on_data_ready.47:Cx=43 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0077].[12488].[11368].[2021.04.05.01.22.04.252798].SRV1.INF:Main.py.on_data_ready.47:Cx=44 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0078].[12488].[11368].[2021.04.05.01.22.04.261803].SRV1.INF:Main.py.on_data_ready.47:Cx=45 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0079].[12488].[11368].[2021.04.05.01.22.04.272811].SRV1.INF:Main.py.on_data_ready.47:Cx=46 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0080].[12488].[11368].[2021.04.05.01.22.04.284324].SRV1.INF:Main.py.on_data_ready.47:Cx=47 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0081].[12488].[11368].[2021.04.05.01.22.04.295343].SRV1.INF:Main.py.on_data_ready.47:Cx=48 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0082].[12488].[11368].[2021.04.05.01.22.04.303349].SRV1.INF:Main.py.on_data_ready.47:Cx=49 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0083].[12488].[11368].[2021.04.05.01.22.04.316358].SRV1.INF:Main.py.on_data_ready.47:Cx=50 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0084].[12488].[11368].[2021.04.05.01.22.04.325367].SRV1.INF:Main.py.on_data_ready.47:Cx=51 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0085].[12488].[11368].[2021.04.05.01.22.04.334370].SRV1.INF:Main.py.on_data_ready.47:Cx=52 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0086].[12488].[11368].[2021.04.05.01.22.04.342377].SRV1.INF:Main.py.on_data_ready.47:Cx=53 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0087].[12488].[11368].[2021.04.05.01.22.04.353383].SRV1.INF:Main.py.on_data_ready.47:Cx=54 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0088].[12488].[11368].[2021.04.05.01.22.04.361387].SRV1.INF:Main.py.on_data_ready.47:Cx=55 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0089].[12488].[11368].[2021.04.05.01.22.04.369392].SRV1.INF:Main.py.on_data_ready.47:Cx=56 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0090].[12488].[11368].[2021.04.05.01.22.04.379399].SRV1.INF:Main.py.on_data_ready.47:Cx=57 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0091].[12488].[11368].[2021.04.05.01.22.04.388406].SRV1.INF:Main.py.on_data_ready.47:Cx=58 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0092].[12488].[11368].[2021.04.05.01.22.04.396411].SRV1.INF:Main.py.on_data_ready.47:Cx=59 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0093].[12488].[11368].[2021.04.05.01.22.04.405417].SRV1.INF:Main.py.on_data_ready.47:Cx=60 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0094].[12488].[11368].[2021.04.05.01.22.04.413422].SRV1.INF:Main.py.on_data_ready.47:Cx=61 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0095].[12488].[11368].[2021.04.05.01.22.04.422429].SRV1.INF:Main.py.on_data_ready.47:Cx=62 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0096].[12488].[11368].[2021.04.05.01.22.04.431433].SRV1.INF:Main.py.on_data_ready.47:Cx=63 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0097].[12488].[11368].[2021.04.05.01.22.04.440439].SRV1.INF:Main.py.on_data_ready.47:Cx=64 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0098].[12488].[11368].[2021.04.05.01.22.04.451448].SRV1.INF:Main.py.on_data_ready.47:Cx=65 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0099].[12488].[11368].[2021.04.05.01.22.04.460453].SRV1.INF:Main.py.on_data_ready.47:Cx=66 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0100].[12488].[11368].[2021.04.05.01.22.04.468459].SRV1.INF:Main.py.on_data_ready.47:Cx=67 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0101].[12488].[11368].[2021.04.05.01.22.04.477465].SRV1.INF:Main.py.on_data_ready.47:Cx=68 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0102].[12488].[11368].[2021.04.05.01.22.04.485470].SRV1.INF:Main.py.on_data_ready.47:Cx=69 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0103].[12488].[11368].[2021.04.05.01.22.04.494477].SRV1.INF:Main.py.on_data_ready.47:Cx=70 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0104].[12488].[11368].[2021.04.05.01.22.04.502481].SRV1.INF:Main.py.on_data_ready.47:Cx=71 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
