[0073].[16136].[9304].[2021.04.05.01.55.02.172117].SRV1.INF:Main.py.on_data_ready.50:Cx=20 Deðer1 from ThreadName=TH2 ThreadID=11836
[0074].[16136].[9304].[2021.04.05.01.55.02.262175].SRV1.INF:Main.py.on_data_ready.50:Cx=21 Deðer1 from ThreadName=TH1 ThreadID=11236
[0075].[16136].[9304].[2021.04.05.01.55.02.274184].SRV1.INF:Main.py.on_data_ready.50:Cx=21 Deðer1 from ThreadName=TH2 ThreadID=11836
[0076].[16136].[9304].[2021.04.05.01.55.02.364243].SRV1.INF:Main.py.on_data_ready.50:Cx=22 Deðer1 from ThreadName=TH1 ThreadID=11236
[0077].[16136].[9304].[2021.04.05.01.55.02.374251].SRV1.INF:Main.py.on_data_ready.50:Cx=22 Deðer1 from ThreadName=TH2 ThreadID=11836
[0078].[16136].[9304].[2021.04.05.01.55.02.465326].SRV1.INF:Main.py.on_data_ready.50:Cx=23 Deðer1 from ThreadName=TH1 ThreadID=11236
[0079].[16136].[9304].[2021.04.05.01.55.02.477333].SRV1.INF:Main.py.on_data_ready.50:Cx=23 Deðer1 from ThreadName=TH2 ThreadID=11836
[0080].[16136].[9304].[2021.04.05.01.55.02.566471].SRV1.INF:Main.py.on_data_ready.50:Cx=24 Deðer1 from ThreadName=TH1 ThreadID=11236
[0081].[16136].[9304].[2021.04.05.01.55.02.586481].SRV1.INF:Main.py.on_data_ready.50:Cx=24 Deðer1 from ThreadName=TH2 ThreadID=11836
[0082].[16136].[9304].[2021.04.05.01.55.02.667299].SRV1.INF:Main.py.on_data_ready.50:Cx=25 Deðer1 from ThreadName=TH1 ThreadID=11236
[0083].[16136].[9304].[2021.04.05.01.55.02.688306].SRV1.INF:Main.py.on_data_ready.50:Cx=25 Deðer1 from ThreadName=TH2 ThreadID=11836
[0084].[16136].[9304].[2021.04.05.01.55.02.768249].SRV1.INF:Main.py.on_data_ready.50:Cx=26 Deðer1 from ThreadName=TH1 ThreadID=11236
[0085].[16136].[9304].[2021.04.05.01.55.02.792262].SRV1.INF:Main.py.on_data_ready.50:Cx=26 Deðer1 from ThreadName=TH2 ThreadID=11836
[0086].[16136].[9304].[2021.04.05.01.55.02.868505].SRV1.INF:Main.py.on_data_ready.50:Cx=27 Deðer1 from ThreadName=TH1 ThreadID=11236
[0087].[16136].[9304].[2021.04.05.01.55.02.890517].SRV1.INF:Main.py.on_data_ready.50:Cx=27 Deðer1 from ThreadName=TH2 ThreadID=11836
[0088].[16136].[9304].[2021.04.05.01.55.02.969028].SRV1.INF:Main.py.on_data_ready.50:Cx=28 Deðer1 from ThreadName=TH1 ThreadID=11236
[0089].[16136].[9304].[2021.04.05.01.55.02.993043].SRV1.INF:Main.py.on_data_ready.50:Cx=28 Deðer1 from ThreadName=TH2 ThreadID=11836
[0090].[16136].[9304].[2021.04.05.01.55.03.068675].SRV1.INF:Main.py.on_data_ready.50:Cx=29 Deðer1 from ThreadName=TH1 ThreadID=11236
[0091].[16136].[9304].[2021.04.05.01.55.03.090693].SRV1.INF:Main.py.on_data_ready.50:Cx=29 Deðer1 from ThreadName=TH2 ThreadID=11836
[0092].[16136].[9304].[2021.04.05.01.55.03.169155].SRV1.INF:Main.py.on_data_ready.50:Cx=30 Deðer1 from ThreadName=TH1 ThreadID=11236
[0093].[16136].[9304].[2021.04.05.01.55.03.190334].SRV1.INF:Main.py.on_data_ready.50:Cx=30 Deðer1 from ThreadName=TH2 ThreadID=11836
[0094].[16136].[9304].[2021.04.05.01.55.03.270663].SRV1.INF:Main.py.on_data_ready.50:Cx=31 Deðer1 from ThreadName=TH1 ThreadID=11236
[0095].[16136].[9304].[2021.04.05.01.55.03.290679].SRV1.INF:Main.py.on_data_ready.50:Cx=31 Deðer1 from ThreadName=TH2 ThreadID=11836
[0096].[16136].[9304].[2021.04.05.01.55.03.371049].SRV1.INF:Main.py.on_data_ready.50:Cx=32 Deðer1 from ThreadName=TH1 ThreadID=11236
[0097].[16136].[9304].[2021.04.05.01.55.03.394069].SRV1.INF:Main.py.on_data_ready.50:Cx=32 Deðer1 from ThreadName=TH2 ThreadID=11836
[0098].[16136].[9304].[2021.04.05.01.55.03.470061].SRV1.INF:Main.py.on_data_ready.50:Cx=33 Deðer1 from ThreadName=TH1 ThreadID=11236
[0099].[16136].[9304].[2021.04.05.01.55.03.492228].SRV1.INF:Main.py.on_data_ready.50:Cx=33 Deðer1 from ThreadName=TH2 ThreadID=11836
[0100].[16136].[9304].[2021.04.05.01.55.03.572804].SRV1.INF:Main.py.on_data_ready.50:Cx=34 Deðer1 from ThreadName=TH1 ThreadID=11236
[0101].[16136].[9304].[2021.04.05.01.55.03.597822].SRV1.INF:Main.py.on_data_ready.50:Cx=34 Deðer1 from ThreadName=TH2 ThreadID=11836
[0102].[16136].[9304].[2021.04.05.01.55.03.672486].SRV1.INF:Main.py.on_data_ready.50:Cx=35 Deðer1 from ThreadName=TH1 ThreadID=11236
[0103].[16136].[9304].[2021.04.05.01.55.03.693498].SRV1.INF:Main.py.on_data_ready.50:Cx=35 Deðer1 from ThreadName=TH2 ThreadID=11836
[0104].[16136].[9304].[2021.04.05.01.55.03.772547].SRV1.INF:Main.py.on_data_ready.50:Cx=36 Deðer1 from ThreadName=TH1 ThreadID=11236
[0105].[16136].[9304].[2021.04.05.01.55.03.793562].SRV1.INF:Main.py.on_data_ready.50:Cx=36 Deðer1 from ThreadName=TH2 ThreadID=11836
[0106].[16136].[9304].[2021.04.05.01.55.03.873616].SRV1.INF:Main.py.on_data_ready.50:Cx=37 Deðer1 from ThreadName=TH1 ThreadID=11236
[0107].[16136].[9304].[2021.04.05.01.55.03.894629].SRV1.INF:Main.py.on_data_ready.50:Cx=37 Deðer1 from ThreadName=TH2 ThreadID=11836
[0108].[16136].[9304].[2021.04.05.01.55.03.974681].SRV1.INF:Main.py.on_data_ready.50:Cx=38 Deðer1 from ThreadName=TH1 ThreadID=11236
[0109].[16136].[9304].[2021.04.05.01.55.03.994696].SRV1.INF:Main.py.on_data_ready.50:Cx=38 Deðer1 from ThreadName=TH2 ThreadID=11836
[0110].[16136].[9304].[2021.04.05.01.55.04.075257].SRV1.INF:Main.py.on_data_ready.50:Cx=39 Deðer1 from ThreadName=TH1 ThreadID=11236
[0111].[16136].[9304].[2021.04.05.01.55.04.095268].SRV1.INF:Main.py.on_data_ready.50:Cx=39 Deðer1 from ThreadName=TH2 ThreadID=11836
[0112].[16136].[9304].[2021.04.05.01.55.04.176153].SRV1.INF:Main.py.on_data_ready.50:Cx=40 Deðer1 from ThreadName=TH1 ThreadID=11236
[0113].[16136].[9304].[2021.04.05.01.55.04.196258].SRV1.INF:Main.py.on_data_ready.50:Cx=40 Deðer1 from ThreadName=TH2 ThreadID=11836
[0114].[16136].[9304].[2021.04.05.01.55.04.278675].SRV1.INF:Main.py.on_data_ready.50:Cx=41 Deðer1 from ThreadName=TH1 ThreadID=11236
[0115].[16136].[9304].[2021.04.05.01.55.04.301694].SRV1.INF:Main.py.on_data_ready.50:Cx=41 Deðer1 from ThreadName=TH2 ThreadID=11836
[0116].[16136].[9304].[2021.04.05.01.55.04.379381].SRV1.INF:Main.py.on_data_ready.50:Cx=42 Deðer1 from ThreadName=TH1 ThreadID=11236
[0117].[16136].[9304].[2021.04.05.01.55.04.403400].SRV1.INF:Main.py.on_data_ready.50:Cx=42 Deðer1 from ThreadName=TH2 ThreadID=11836
[0118].[16136].[9304].[2021.04.05.01.55.04.477959].SRV1.INF:Main.py.on_data_ready.50:Cx=43 Deðer1 from ThreadName=TH1 ThreadID=11236
[0119].[16136].[9304].[2021.04.05.01.55.04.499973].SRV1.INF:Main.py.on_data_ready.50:Cx=43 Deðer1 from ThreadName=TH2 ThreadID=11836
[0120].[16136].[9304].[2021.04.05.01.55.04.580369].SRV1.INF:Main.py.on_data_ready.50:Cx=44 Deðer1 from ThreadName=TH1 ThreadID=11236
[0121].[16136].[9304].[2021.04.05.01.55.04.602379].SRV1.INF:Main.py.on_data_ready.50:Cx=44 Deðer1 from ThreadName=TH2 ThreadID=11836
[0122].[16136].[9304].[2021.04.05.01.55.04.681160].SRV1.INF:Main.py.on_data_ready.50:Cx=45 Deðer1 from ThreadName=TH1 ThreadID=11236
[0123].[16136].[9304].[2021.04.05.01.55.04.704178].SRV1.INF:Main.py.on_data_ready.50:Cx=45 Deðer1 from ThreadName=TH2 ThreadID=11836
[0124].[16136].[9304].[2021.04.05.01.55.04.780769].SRV1.INF:Main.py.on_data_ready.50:Cx=46 Deðer1 from ThreadName=TH1 ThreadID=11236
[0125].[16136].[9304].[2021.04.05.01.55.04.800495].SRV1.INF:Main.py.on_data_ready.50:Cx=46 Deðer1 from ThreadName=TH2 ThreadID=11836
[0126].[16136].[9304].[2021.04.05.01.55.04.881702].SRV1.INF:Main.py.on_data_ready.50:Cx=47 Deðer1 from ThreadName=TH1 ThreadID=11236
[0127].[16136].[9304].[2021.04.05.01.55.04.902716].SRV1.INF:Main.py.on_data_ready.50:Cx=47 Deðer1 from ThreadName=TH2 ThreadID=11836
[0128].[16136].[9304].[2021.04.05.01.55.04.983017].SRV1.INF:Main.py.on_data_ready.50:Cx=48 Deðer1 from ThreadName=TH1 ThreadID=11236
[0129].[16136].[9304].[2021.04.05.01.55.05.006030].SRV1.INF:Main.py.on_data_ready.50:Cx=48 Deðer1 from ThreadName=TH2 ThreadID=11836
[0130].[16136].[9304].[2021.04.05.01.55.05.082346].SRV1.INF:Main.py.on_data_ready.50:Cx=49 Deðer1 from ThreadName=TH1 ThreadID=11236
[0131].[16136].[9304].[2021.04.05.01.55.05.106359].SRV1.INF:Main.py.on_data_ready.50:Cx=49 Deðer1 from ThreadName=TH2 ThreadID=11836
[0132].[16136].[9304].[2021.04.05.01.55.05.182977].SRV1.INF:Main.py.on_data_ready.50:Cx=50 Deðer1 from ThreadName=TH1 ThreadID=11236
[0133].[16136].[9304].[2021.04.05.01.55.05.205993].SRV1.INF:Main.py.on_data_ready.50:Cx=50 Deðer1 from ThreadName=TH2 ThreadID=11836
[0134].[16136].[9304].[2021.04.05.01.55.05.283787].SRV1.INF:Main.py.on_data_ready.50:Cx=51 Deðer1 from ThreadName=TH1 ThreadID=11236
[0135].[16136].[9304].[2021.04.05.01.55.05.306802].SRV1.INF:Main.py.on_data_ready.50:Cx=51 Deðer1 from ThreadName=TH2 ThreadID=11836
[0136].[16136].[9304].[2021.04.05.01.55.05.385619].SRV1.INF:Main.py.on_data_ready.50:Cx=52 Deðer1 from ThreadName=TH1 ThreadID=11236
[0137].[16136].[9304].[2021.04.05.01.55.05.409632].SRV1.INF:Main.py.on_data_ready.50:Cx=52 Deðer1 from ThreadName=TH2 ThreadID=11836
[0138].[16136].[9304].[2021.04.05.01.55.05.486002].SRV1.INF:Main.py.on_data_ready.50:Cx=53 Deðer1 from ThreadName=TH1 ThreadID=11236
[0139].[16136].[9304].[2021.04.05.01.55.05.508082].SRV1.INF:Main.py.on_data_ready.50:Cx=53 Deðer1 from ThreadName=TH2 ThreadID=11836
[0140].[16136].[9304].[2021.04.05.01.55.05.587029].SRV1.INF:Main.py.on_data_ready.50:Cx=54 Deðer1 from ThreadName=TH1 ThreadID=11236
[0141].[16136].[9304].[2021.04.05.01.55.05.611039].SRV1.INF:Main.py.on_data_ready.50:Cx=54 Deðer1 from ThreadName=TH2 ThreadID=11836
[0142].[16136].[9304].[2021.04.05.01.55.05.687783].SRV1.INF:Main.py.on_data_ready.50:Cx=55 Deðer1 from ThreadName=TH1 ThreadID=11236
[0143].[16136].[9304].[2021.04.05.01.55.05.710797].SRV1.INF:Main.py.on_data_ready.50:Cx=55 Deðer1 from ThreadName=TH2 ThreadID=11836
[0144].[16136].[9304].[2021.04.05.01.55.05.787934].SRV1.INF:Main.py.on_data_ready.50:Cx=56 Deðer1 from ThreadName=TH1 ThreadID=11236
[0145].[16136].[9304].[2021.04.05.01.55.05.810947].SRV1.INF:Main.py.on_data_ready.50:Cx=56 Deðer1 from ThreadName=TH2 ThreadID=11836
[0146].[16136].[9304].[2021.04.05.01.55.05.887699].SRV1.INF:Main.py.on_data_ready.50:Cx=57 Deðer1 from ThreadName=TH1 ThreadID=11236
[0147].[16136].[9304].[2021.04.05.01.55.05.912715].SRV1.INF:Main.py.on_data_ready.50:Cx=57 Deðer1 from ThreadName=TH2 ThreadID=11836
[0148].[16136].[9304].[2021.04.05.01.55.05.989157].SRV1.INF:Main.py.on_data_ready.50:Cx=58 Deðer1 from ThreadName=TH1 ThreadID=11236
[0149].[16136].[9304].[2021.04.05.01.55.06.014174].SRV1.INF:Main.py.on_data_ready.50:Cx=58 Deðer1 from ThreadName=TH2 ThreadID=11836
[0150].[16136].[9304].[2021.04.05.01.55.06.089829].SRV1.INF:Main.py.on_data_ready.50:Cx=59 Deðer1 from ThreadName=TH1 ThreadID=11236
[0151].[16136].[9304].[2021.04.05.01.55.06.113846].SRV1.INF:Main.py.on_data_ready.50:Cx=59 Deðer1 from ThreadName=TH2 ThreadID=11836
[0152].[16136].[9304].[2021.04.05.01.55.06.189564].SRV1.INF:Main.py.on_data_ready.50:Cx=60 Deðer1 from ThreadName=TH1 ThreadID=11236
[0153].[16136].[9304].[2021.04.05.01.55.06.214640].SRV1.INF:Main.py.on_data_ready.50:Cx=60 Deðer1 from ThreadName=TH2 ThreadID=11836
[0154].[16136].[9304].[2021.04.05.01.55.06.290273].SRV1.INF:Main.py.on_data_ready.50:Cx=61 Deðer1 from ThreadName=TH1 ThreadID=11236
[0155].[16136].[9304].[2021.04.05.01.55.06.314447].SRV1.INF:Main.py.on_data_ready.50:Cx=61 Deðer1 from ThreadName=TH2 ThreadID=11836
[0156].[16136].[9304].[2021.04.05.01.55.06.391901].SRV1.INF:Main.py.on_data_ready.50:Cx=62 Deðer1 from ThreadName=TH1 ThreadID=11236
[0157].[16136].[9304].[2021.04.05.01.55.06.415911].SRV1.INF:Main.py.on_data_ready.50:Cx=62 Deðer1 from ThreadName=TH2 ThreadID=11836
[0158].[16136].[9304].[2021.04.05.01.55.06.491687].SRV1.INF:Main.py.on_data_ready.50:Cx=63 Deðer1 from ThreadName=TH1 ThreadID=11236
[0159].[16136].[9304].[2021.04.05.01.55.06.516701].SRV1.INF:Main.py.on_data_ready.50:Cx=63 Deðer1 from ThreadName=TH2 ThreadID=11836
[0160].[16136].[9304].[2021.04.05.01.55.06.593589].SRV1.INF:Main.py.on_data_ready.50:Cx=64 Deðer1 from ThreadName=TH1 ThreadID=11236
[0161].[16136].[9304].[2021.04.05.01.55.06.616606].SRV1.INF:Main.py.on_data_ready.50:Cx=64 Deðer1 from ThreadName=TH2 ThreadID=11836
[0162].[16136].[9304].[2021.04.05.01.55.06.694564].SRV1.INF:Main.py.on_data_ready.50:Cx=65 Deðer1 from ThreadName=TH1 ThreadID=11236
[0163].[16136].[9304].[2021.04.05.01.55.06.719580].SRV1.INF:Main.py.on_data_ready.50:Cx=65 Deðer1 from ThreadName=TH2 ThreadID=11836
[0164].[16136].[9304].[2021.04.05.01.55.06.795333].SRV1.INF:Main.py.on_data_ready.50:Cx=66 Deðer1 from ThreadName=TH1 ThreadID=11236
[0165].[16136].[9304].[2021.04.05.01.55.06.819347].SRV1.INF:Main.py.on_data_ready.50:Cx=66 Deðer1 from ThreadName=TH2 ThreadID=11836
[0166].[16136].[9304].[2021.04.05.01.55.06.895967].SRV1.INF:Main.py.on_data_ready.50:Cx=67 Deðer1 from ThreadName=TH1 ThreadID=11236
[0167].[16136].[9304].[2021.04.05.01.55.06.918977].SRV1.INF:Main.py.on_data_ready.50:Cx=67 Deðer1 from ThreadName=TH2 ThreadID=11836
[0168].[16136].[9304].[2021.04.05.01.55.06.996264].SRV1.INF:Main.py.on_data_ready.50:Cx=68 Deðer1 from ThreadName=TH1 ThreadID=11236
[0169].[16136].[9304].[2021.04.05.01.55.07.021285].SRV1.INF:Main.py.on_data_ready.50:Cx=68 Deðer1 from ThreadName=TH2 ThreadID=11836
